"Scenario","Type","k","tau2","bias_type","true_mu","Method","Estimate","SE","CI_Lower","CI_Upper","Covered","k_final"
"Null_k10_tau0.05","null",10,0.05,"none",0,"REML",0.90051669265113,1.59348561051486,-2.22265771384082,4.02369109914308,TRUE,10
"Null_k10_tau0.05","null",10,0.05,"none",0,"HKSJ",0.90051669265113,1.51384908944257,-2.52404786842692,4.32508125372918,TRUE,10
"Null_k10_tau0.05","null",10,0.05,"none",0,"TGEP",0.670746272599131,1.51713755493394,-2.30278869466455,3.64428123986282,TRUE,10
"Null_k10_tau0.05","null",10,0.05,"none",0,"REML",-0.0129524913519495,1.77504223165885,-3.49197133644091,3.46606635373701,TRUE,10
"Null_k10_tau0.05","null",10,0.05,"none",0,"HKSJ",-0.0129524913519495,1.79763953942491,-4.07949565159128,4.05359066888738,TRUE,10
"Null_k10_tau0.05","null",10,0.05,"none",0,"TGEP",-0.48191036364452,1.73191709170797,-3.8764054876015,2.91258476031246,TRUE,10
"Null_k10_tau0.05","null",10,0.05,"none",0,"REML",0.246375900789549,1.42447573639736,-2.54554523940044,3.03829704097954,TRUE,10
"Null_k10_tau0.05","null",10,0.05,"none",0,"HKSJ",0.246375900789549,1.14924016268472,-2.35338596500307,2.84613776658217,TRUE,10
"Null_k10_tau0.05","null",10,0.05,"none",0,"TGEP",0.220414206143498,1.47563500489718,-2.67177725778156,3.11260567006856,TRUE,10
"Null_k10_tau0.05","null",10,0.05,"none",0,"REML",0.373528354026525,1.53352880339353,-2.6321328698796,3.37918957793265,TRUE,10
"Null_k10_tau0.05","null",10,0.05,"none",0,"HKSJ",0.373528354026525,1.25428649836013,-2.46386483243993,3.21092154049298,TRUE,10
"Null_k10_tau0.05","null",10,0.05,"none",0,"TGEP",0.0206891512068268,1.56399263109569,-3.04468007782677,3.08605838024042,TRUE,10
"Null_k10_tau0.05","null",10,0.05,"none",0,"REML",1.68898022158556,1.773458864088,-1.78693528009023,5.16489572326135,TRUE,10
"Null_k10_tau0.05","null",10,0.05,"none",0,"HKSJ",1.68898022158556,1.68166870470312,-2.11521868421219,5.4931791273833,TRUE,10
"Null_k10_tau0.05","null",10,0.05,"none",0,"TGEP",1.99930078862783,1.76731917557962,-1.46458114469524,5.46318272195091,TRUE,10
"Null_k10_tau0.05","null",10,0.05,"none",0,"REML",-1.43346003778294,1.32833498498277,-4.03694876775372,1.17002869218784,TRUE,10
"Null_k10_tau0.05","null",10,0.05,"none",0,"HKSJ",-1.43346003778294,1.07678942125674,-3.86932693990421,1.00240686433833,TRUE,10
"Null_k10_tau0.05","null",10,0.05,"none",0,"TGEP",-1.18858597524853,1.34214736404442,-3.81914647072097,1.44197452022391,TRUE,10
"Null_k10_tau0.05","null",10,0.05,"none",0,"REML",-3.03675082959713,1.51194031160402,-6.00009938711528,-0.0734022720789755,FALSE,10
"Null_k10_tau0.05","null",10,0.05,"none",0,"HKSJ",-3.03675082959713,1.30004775296813,-5.97766316595369,-0.0958384932405671,FALSE,10
"Null_k10_tau0.05","null",10,0.05,"none",0,"TGEP",-2.76095182554247,1.56553749841117,-5.82934893887528,0.307445287790349,TRUE,10
